start_date,end_date,pharmacy
13/04/2021 00:00:00,20/04/2021 00:00:00,Valmar (Europort)
20/04/2021 00:00:00,27/04/2021 00:00:00,Morrisons Pharmacy
27/04/2021 00:00:00,04/05/2021 00:00:00,Bell Pharmacy
04/05/2021 00:00:00,11/05/2021 00:00:00,New Chemist
11/05/2021 00:00:00,18/05/2021 00:00:00,Waterport Pharmacy
18/05/2021 00:00:00,25/05/2021 00:00:00,Valmar (Europort)
25/05/2021 00:00:00,01/06/2021 00:00:00,Wesley Pharmacy
01/06/2021 00:00:00,08/06/2021 00:00:00,Calpe 93
08/06/2021 00:00:00,15/06/2021 00:00:00,Trafalgar (West One)
15/06/2021 00:00:00,22/06/2021 00:00:00,Trafalgar (West One)
22/06/2021 00:00:00,29/06/2021 00:00:00,Crown Pharmacy
29/06/2021 00:00:00,06/07/2021 00:00:00,Calpe ICC
06/07/2021 00:00:00,13/07/2021 00:00:00,Mill Pharmacy
13/07/2021 00:00:00,20/07/2021 00:00:00,Kings Pharmacy
20/07/2021 00:00:00,27/07/2021 00:00:00,Omega Pharmacy
27/07/2021 00:00:00,03/08/2021 00:00:00,Cumberland Pharmacy
03/08/2021 00:00:00,10/08/2021 00:00:00,Family Pharmacy
10/08/2021 00:00:00,17/08/2021 00:00:00,Ocean Pharmacy
17/08/2021 00:00:00,24/08/2021 00:00:00,Morrisons Pharmacy
24/08/2021 00:00:00,31/08/2021 00:00:00,Family Pharmacy
31/08/2021 00:00:00,07/09/2021 00:00:00,Bell Pharmacy
07/09/2021 00:00:00,14/09/2021 00:00:00,Cumberland Pharmacy
14/09/2021 00:00:00,21/09/2021 00:00:00,Trafalgar (West One)
21/09/2021 00:00:00,28/09/2021 00:00:00,Kings Pharmacy
28/09/2021 00:00:00,05/10/2021 00:00:00,Mill Pharmacy
05/10/2021 00:00:00,12/10/2021 00:00:00,Valmar (Europort)
12/10/2021 00:00:00,19/10/2021 00:00:00,Wesley Pharmacy
19/10/2021 00:00:00,26/10/2021 00:00:00,Trafalgar (West One)
26/10/2021 00:00:00,02/11/2021 00:00:00,Omega Pharmacy
02/11/2021 00:00:00,09/11/2021 00:00:00,New Chemist
09/11/2021 00:00:00,16/11/2021 00:00:00,Calpe ICC
16/11/2021 00:00:00,23/11/2021 00:00:00,Waterport Pharmacy
23/11/2021 00:00:00,30/11/2021 00:00:00,Ocean Pharmacy
30/11/2021 00:00:00,07/12/2021 00:00:00,Calpe 93
07/12/2021 00:00:00,14/12/2021 00:00:00,Crown Pharmacy
14/12/2021 00:00:00,21/12/2021 00:00:00,Calpe 232
21/12/2021 00:00:00,28/12/2021 00:00:00,Valmar (Europort)
28/12/2021 00:00:00,04/01/2022 00:00:00,Trafalgar (West One)
04/01/2022 00:00:00,11/01/2022 00:00:00,Kings Pharmacy
11/01/2022 00:00:00,18/01/2022 00:00:00,Bell Pharmacy
18/01/2022 00:00:00,25/01/2022 00:00:00,Trafalgar (West One)
25/01/2022 00:00:00,01/02/2022 00:00:00,Omega Pharmacy
01/02/2022 00:00:00,08/02/2022 00:00:00,Calpe ICC
08/02/2022 00:00:00,15/02/2022 00:00:00,Wesley Pharmacy
15/02/2022 00:00:00,22/02/2022 00:00:00,Ocean Pharmacy
22/02/2022 00:00:00,01/03/2022 00:00:00,Mill Pharmacy
01/03/2022 00:00:00,04/05/2021 00:00:00,Valmar (Europort)
08/03/2022 00:00:00,11/05/2021 00:00:00,Crown Pharmacy
15/03/2022 00:00:00,18/05/2021 00:00:00,Valmar (Europort)
22/03/2022 00:00:00,25/05/2021 00:00:00,New Chemist
29/03/2022 00:00:00,05/04/2022 00:00:00,Waterport Pharmacy
